Settle time (s),Measured Distance (cm), Error to real distance = 0 cm
0.066,6868.63,-6868.63
0.067,6868.11,-6868.11
0.067,2141.33,-2141.33
0.067,6813.16,-6813.16
0.068,6868.52,-6868.52
0.068,6868.42,-6868.42
0.068,145.54,-145.54
0.069,6813.23,-6813.23
0.069,6868.42,-6868.42
0.069,6868.45,-6868.45
0.07,6813.03,-6813.03
0.07,6868.35,-6868.35
0.07,6868.56,-6868.56
0.071,6813.08,-6813.08
0.071,6868.49,-6868.49
0.071,6868.32,-6868.32
0.072,6812.49,-6812.49
0.072,6867.89,-6867.89
0.072,6868.06,-6868.06
0.073,6812.56,-6812.56
0.073,6867.79,-6867.79
0.073,6868.32,-6868.32
0.074,6813.08,-6813.08
0.074,6868.45,-6868.45
0.074,6868.61,-6868.61
0.075,6812.61,-6812.61
0.075,1098.18,-1098.18
0.075,242.09,-242.09
0.076,321.65,-321.65
0.076,187.09,-187.09
0.076,205.56,-205.56
0.077,265.27,-265.27
0.077,194.82,-194.82
0.077,205.75,-205.75
0.078,212.52,-212.52
0.078,244.92,-244.92
0.078,3687.59,-3687.59
0.079,6868.16,-6868.16
0.079,6867.87,-6867.87
0.079,6868.23,-6868.23
0.08,6868.1,-6868.1
0.08,6868.42,-6868.42
0.08,6868.44,-6868.44
0.081,6868.25,-6868.25
0.081,6868.09,-6868.09
0.081,6867.96,-6867.96
0.082,6867.72,-6867.72
0.082,6868.27,-6868.27
0.082,6868.27,-6868.27
0.083,6868.3,-6868.3
0.083,6868.65,-6868.65
0.083,6144.38,-6144.38
0.084,6813.01,-6813.01
0.084,6868.46,-6868.46
0.084,6868.37,-6868.37
0.085,6812.55,-6812.55
0.085,6868.73,-6868.73
0.085,6868.97,-6868.97
0.086,6813.37,-6813.37
0.086,6868.64,-6868.64
0.086,6868.01,-6868.01
0.087,6812.51,-6812.51
0.087,793.26,-793.26
0.087,3764.77,-3764.77
0.088,1080.37,-1080.37
0.088,6868.47,-6868.47
0.088,6868.42,-6868.42
0.089,2626.57,-2626.57
0.089,6867.43,-6867.43
0.089,6867.62,-6867.62
0.09,6812.91,-6812.91
0.09,6868.13,-6868.13
0.09,6868.33,-6868.33
0.091,6812.85,-6812.85
0.091,3889.0,-3889.0
0.091,6868.56,-6868.56
0.092,6868.51,-6868.51
0.092,6868.72,-6868.72
0.092,6868.63,-6868.63
0.093,6868.63,-6868.63
0.093,6868.13,-6868.13
0.093,6813.09,-6813.09
0.094,6868.16,-6868.16
