Settle time (s),Measured Distance (cm), Error to real distance = 30 cm
0.005,26.46,3.54
0.005,26.41,3.59
0.005,26.37,3.63
0.005,26.38,3.62
0.005,26.39,3.61
0.005,26.43,3.57
0.005,26.39,3.61
0.005,26.43,3.57
0.005,26.37,3.63
0.005,26.38,3.62
0.005,26.39,3.61
0.005,26.44,3.56
0.005,26.43,3.57
0.005,26.45,3.55
0.005,26.41,3.59
0.005,26.36,3.64
0.005,26.38,3.62
0.005,26.38,3.62
0.005,26.39,3.61
0.005,26.39,3.61
0.005,26.43,3.57
0.005,26.43,3.57
0.005,26.38,3.62
0.005,26.41,3.59
0.005,26.43,3.57
0.005,26.38,3.62
0.005,26.41,3.59
0.005,26.41,3.59
0.005,26.37,3.63
0.005,26.41,3.59
0.005,26.43,3.57
0.005,26.39,3.61
0.005,26.41,3.59
0.005,26.41,3.59
0.005,26.45,3.55
0.005,26.43,3.57
0.005,26.43,3.57
0.005,26.38,3.62
0.005,26.39,3.61
0.005,26.36,3.64
0.005,26.45,3.55
0.005,26.41,3.59
0.005,26.38,3.62
0.005,26.39,3.61
0.005,26.41,3.59
0.005,26.41,3.59
0.005,26.41,3.59
0.005,26.43,3.57
0.005,26.43,3.57
0.005,26.45,3.55
0.005,26.41,3.59
0.005,26.41,3.59
0.005,26.39,3.61
0.005,26.45,3.55
0.005,26.41,3.59
0.005,26.39,3.61
0.005,26.39,3.61
0.005,26.38,3.62
0.005,26.41,3.59
0.005,26.41,3.59
0.005,26.41,3.59
0.005,26.41,3.59
0.005,26.46,3.54
0.005,26.39,3.61
0.005,26.38,3.62
0.005,26.4,3.6
0.005,26.41,3.59
0.005,26.43,3.57
0.005,26.38,3.62
0.005,26.41,3.59
0.005,26.39,3.61
0.005,26.41,3.59
0.005,26.39,3.61
0.005,26.41,3.59
0.005,26.43,3.57
0.005,26.39,3.61
0.005,26.38,3.62
0.005,26.43,3.57
0.005,26.39,3.61
0.005,26.41,3.59
0.005,26.41,3.59
0.005,26.37,3.63
0.005,26.36,3.64
0.005,26.38,3.62
0.005,26.43,3.57
0.005,26.41,3.59
0.005,26.38,3.62
0.005,26.45,3.55
0.005,26.39,3.61
0.005,26.41,3.59
0.005,26.43,3.57
0.005,26.39,3.61
0.005,26.39,3.61
0.005,26.41,3.59
0.005,26.43,3.57
0.005,26.34,3.66
0.005,26.41,3.59
0.005,26.39,3.61
0.005,26.38,3.62
0.005,26.41,3.59
