Settle time (s),Measured Distance (cm), Error to real distance = 10 cm
0.005,7.45,2.55
0.005,6.58,3.42
0.005,6.6,3.4
0.005,6.6,3.4
0.005,6.64,3.36
0.005,6.66,3.34
0.005,6.67,3.33
0.005,6.65,3.35
0.005,6.64,3.36
0.005,6.58,3.42
0.005,6.55,3.45
0.005,6.62,3.38
0.005,6.64,3.36
0.005,6.67,3.33
0.005,6.59,3.41
0.005,6.58,3.42
0.005,6.64,3.36
0.005,6.6,3.4
0.005,6.66,3.34
0.005,6.62,3.38
0.005,6.65,3.35
0.005,6.64,3.36
0.005,6.62,3.38
0.005,6.58,3.42
0.005,6.67,3.33
0.005,6.66,3.34
0.005,6.69,3.31
0.005,6.6,3.4
0.005,6.62,3.38
0.005,6.62,3.38
0.005,6.55,3.45
0.005,6.6,3.4
0.005,6.67,3.33
0.005,6.64,3.36
0.005,6.67,3.33
0.005,6.64,3.36
0.005,6.62,3.38
0.005,6.6,3.4
0.005,6.58,3.42
0.005,6.65,3.35
0.005,6.57,3.43
0.005,6.62,3.38
0.005,6.64,3.36
0.005,6.62,3.38
0.005,6.64,3.36
0.005,6.65,3.35
0.005,6.62,3.38
0.005,6.62,3.38
0.005,6.57,3.43
0.005,6.66,3.34
0.005,6.62,3.38
0.005,6.69,3.31
0.005,6.64,3.36
0.005,6.58,3.42
0.005,6.64,3.36
0.005,6.64,3.36
0.005,6.64,3.36
0.005,6.58,3.42
0.005,6.62,3.38
0.005,6.6,3.4
0.005,6.6,3.4
0.005,6.69,3.31
0.005,6.57,3.43
0.005,6.64,3.36
0.005,6.64,3.36
0.005,6.67,3.33
0.005,6.67,3.33
0.005,6.65,3.35
0.005,6.65,3.35
0.005,6.55,3.45
0.005,6.58,3.42
0.005,6.64,3.36
0.005,6.64,3.36
0.005,6.62,3.38
0.005,6.69,3.31
0.005,6.6,3.4
0.005,6.62,3.38
0.005,6.6,3.4
0.005,6.62,3.38
0.005,6.64,3.36
0.005,6.67,3.33
0.005,6.6,3.4
0.005,6.6,3.4
0.005,6.58,3.42
0.005,6.58,3.42
0.005,6.66,3.34
0.005,6.6,3.4
0.005,6.69,3.31
0.005,6.62,3.38
0.005,6.65,3.35
0.005,6.66,3.34
0.005,6.58,3.42
0.005,6.71,3.29
0.005,6.67,3.33
0.005,6.65,3.35
0.005,6.6,3.4
0.005,6.59,3.41
0.005,7.27,2.73
0.005,6.62,3.38
0.005,6.64,3.36
