Settle time (s),Measured Distance (cm), Error to real distance = 90 cm
0.005,73.55,16.45
0.005,85.76,4.24
0.005,85.77,4.23
0.005,85.72,4.28
0.005,85.7,4.3
0.005,85.74,4.26
0.005,85.73,4.27
0.005,85.75,4.25
0.005,85.76,4.24
0.005,85.77,4.23
0.005,85.74,4.26
0.005,85.75,4.25
0.005,85.77,4.23
0.005,85.73,4.27
0.005,85.77,4.23
0.005,85.72,4.28
0.005,85.73,4.27
0.005,85.75,4.25
0.005,85.76,4.24
0.005,85.73,4.27
0.005,85.73,4.27
0.005,85.72,4.28
0.005,85.72,4.28
0.005,85.72,4.28
0.005,85.78,4.22
0.005,85.72,4.28
0.005,85.74,4.26
0.005,85.72,4.28
0.005,85.72,4.28
0.005,85.77,4.23
0.005,85.69,4.31
0.005,85.74,4.26
0.005,85.73,4.27
0.005,85.74,4.26
0.005,85.77,4.23
0.005,85.72,4.28
0.005,85.75,4.25
0.005,85.73,4.27
0.005,85.72,4.28
0.005,85.75,4.25
0.005,85.72,4.28
0.005,85.72,4.28
0.005,85.72,4.28
0.005,85.73,4.27
0.005,85.78,4.22
0.005,85.72,4.28
0.005,85.77,4.23
0.005,85.73,4.27
0.005,85.75,4.25
0.005,85.75,4.25
0.005,85.74,4.26
0.005,85.75,4.25
0.005,85.72,4.28
0.005,85.77,4.23
0.005,85.75,4.25
0.005,85.72,4.28
0.005,85.73,4.27
0.005,85.73,4.27
0.005,85.72,4.28
0.005,85.75,4.25
0.005,85.73,4.27
0.005,85.77,4.23
0.005,85.75,4.25
0.005,85.73,4.27
0.005,85.73,4.27
0.005,85.74,4.26
0.005,85.75,4.25
0.005,85.72,4.28
0.005,85.75,4.25
0.005,85.72,4.28
0.005,85.72,4.28
0.005,85.72,4.28
0.005,85.72,4.28
0.005,85.72,4.28
0.005,85.73,4.27
0.005,85.72,4.28
0.005,85.73,4.27
0.005,85.75,4.25
0.005,85.74,4.26
0.005,85.73,4.27
0.005,85.7,4.3
0.005,85.72,4.28
0.005,85.75,4.25
0.005,85.73,4.27
0.005,85.72,4.28
0.005,85.73,4.27
0.005,85.75,4.25
0.005,85.77,4.23
0.005,85.72,4.28
0.005,85.74,4.26
0.005,85.74,4.26
0.005,85.77,4.23
0.005,85.75,4.25
0.005,85.73,4.27
0.005,85.75,4.25
0.005,85.75,4.25
0.005,85.75,4.25
0.005,85.72,4.28
0.005,85.73,4.27
0.005,85.74,4.26
