Settle time (s),Measured Distance (cm), Error to real distance = 100 cm
0.005,95.61,4.39
0.005,96.35,3.65
0.005,96.33,3.67
0.005,96.35,3.65
0.005,96.35,3.65
0.005,96.35,3.65
0.005,96.35,3.65
0.005,96.38,3.62
0.005,96.35,3.65
0.005,96.31,3.69
0.005,96.36,3.64
0.005,96.37,3.63
0.005,96.38,3.62
0.005,96.31,3.69
0.005,96.4,3.6
0.005,96.38,3.62
0.005,96.37,3.63
0.005,96.38,3.62
0.005,96.32,3.68
0.005,96.35,3.65
0.005,96.37,3.63
0.005,96.37,3.63
0.005,96.37,3.63
0.005,96.35,3.65
0.005,96.37,3.63
0.005,96.37,3.63
0.005,96.38,3.62
0.005,96.31,3.69
0.005,96.35,3.65
0.005,96.33,3.67
0.005,96.37,3.63
0.005,96.35,3.65
0.005,96.38,3.62
0.005,96.37,3.63
0.005,96.37,3.63
0.005,96.35,3.65
0.005,96.35,3.65
0.005,96.36,3.64
0.005,96.36,3.64
0.005,96.3,3.7
0.005,96.35,3.65
0.005,96.35,3.65
0.005,96.38,3.62
0.005,96.37,3.63
0.005,96.4,3.6
0.005,96.35,3.65
0.005,96.35,3.65
0.005,96.33,3.67
0.005,96.3,3.7
0.005,96.35,3.65
0.005,96.38,3.62
0.005,96.38,3.62
0.005,96.35,3.65
0.005,96.38,3.62
0.005,96.35,3.65
0.005,96.33,3.67
0.005,96.31,3.69
0.005,96.37,3.63
0.005,96.35,3.65
0.005,96.35,3.65
0.005,96.35,3.65
0.005,96.57,3.43
0.005,96.35,3.65
0.005,96.35,3.65
0.005,96.31,3.69
0.005,96.38,3.62
0.005,96.33,3.67
0.005,96.35,3.65
0.005,96.31,3.69
0.005,96.38,3.62
0.005,96.35,3.65
0.005,96.37,3.63
0.005,96.3,3.7
0.005,96.33,3.67
0.005,96.33,3.67
0.005,96.33,3.67
0.005,96.33,3.67
0.005,96.38,3.62
0.005,96.36,3.64
0.005,86.2,13.8
0.005,96.35,3.65
0.005,96.33,3.67
0.005,96.35,3.65
0.005,96.31,3.69
0.005,96.33,3.67
0.005,96.32,3.68
0.005,96.37,3.63
0.005,96.35,3.65
0.005,96.38,3.62
0.005,96.37,3.63
0.005,91.84,8.16
0.005,96.37,3.63
0.005,96.35,3.65
0.005,96.37,3.63
0.005,96.36,3.64
0.005,96.38,3.62
0.005,96.35,3.65
0.005,96.31,3.69
0.005,96.33,3.67
0.005,96.38,3.62
