Settle time (s),Measured Distance (cm), Error to real distance = 40 cm
0.005,36.56,3.44
0.005,36.6,3.4
0.005,36.51,3.49
0.005,36.58,3.42
0.005,36.51,3.49
0.005,36.6,3.4
0.005,36.56,3.44
0.005,36.62,3.38
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.6,3.4
0.005,36.56,3.44
0.005,36.55,3.45
0.005,36.55,3.45
0.005,36.58,3.42
0.005,36.57,3.43
0.005,36.55,3.45
0.005,36.55,3.45
0.005,36.58,3.42
0.005,36.58,3.42
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.6,3.4
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.55,3.45
0.005,36.58,3.42
0.005,36.53,3.47
0.005,36.55,3.45
0.005,36.6,3.4
0.005,36.58,3.42
0.005,36.58,3.42
0.005,36.55,3.45
0.005,36.58,3.42
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.58,3.42
0.005,36.57,3.43
0.005,36.6,3.4
0.005,36.58,3.42
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.55,3.45
0.005,36.58,3.42
0.005,36.6,3.4
0.005,36.55,3.45
0.005,36.55,3.45
0.005,36.56,3.44
0.005,36.55,3.45
0.005,36.6,3.4
0.005,36.55,3.45
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.55,3.45
0.005,36.58,3.42
0.005,36.6,3.4
0.005,36.58,3.42
0.005,36.58,3.42
0.005,36.58,3.42
0.005,36.58,3.42
0.005,36.26,3.74
0.005,36.6,3.4
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.53,3.47
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.6,3.4
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.56,3.44
0.005,36.56,3.44
0.005,36.6,3.4
0.005,36.55,3.45
0.005,36.58,3.42
0.005,36.58,3.42
0.005,36.58,3.42
0.005,36.56,3.44
0.005,36.55,3.45
0.005,36.58,3.42
0.005,36.55,3.45
0.005,36.53,3.47
0.005,36.56,3.44
0.005,36.58,3.42
0.005,36.62,3.38
