Settle time (s),Measured Distance (cm), Error to real distance = 80 cm
0.005,75.8,4.2
0.005,75.77,4.23
0.005,75.82,4.18
0.005,75.82,4.18
0.005,76.46,3.54
0.005,75.79,4.21
0.005,75.79,4.21
0.005,75.82,4.18
0.005,75.77,4.23
0.005,75.85,4.15
0.005,75.8,4.2
0.005,77.21,2.79
0.005,75.86,4.14
0.005,75.8,4.2
0.005,75.79,4.21
0.005,75.84,4.16
0.005,75.78,4.22
0.005,75.78,4.22
0.005,75.85,4.15
0.005,75.77,4.23
0.005,75.77,4.23
0.005,75.79,4.21
0.005,75.8,4.2
0.005,75.84,4.16
0.005,75.79,4.21
0.005,75.82,4.18
0.005,75.8,4.2
0.005,75.77,4.23
0.005,75.84,4.16
0.005,75.85,4.15
0.005,75.84,4.16
0.005,75.82,4.18
0.005,75.91,4.09
0.005,75.79,4.21
0.005,75.84,4.16
0.005,75.82,4.18
0.005,75.77,4.23
0.005,75.84,4.16
0.005,75.82,4.18
0.005,75.85,4.15
0.005,75.84,4.16
0.005,75.82,4.18
0.005,75.79,4.21
0.005,75.82,4.18
0.005,75.8,4.2
0.005,75.8,4.2
0.005,75.78,4.22
0.005,75.84,4.16
0.005,75.82,4.18
0.005,75.82,4.18
0.005,75.84,4.16
0.005,75.82,4.18
0.005,75.8,4.2
0.005,75.84,4.16
0.005,75.86,4.14
0.005,75.84,4.16
0.005,75.8,4.2
0.005,76.44,3.56
0.005,75.79,4.21
0.005,75.8,4.2
0.005,75.79,4.21
0.005,75.8,4.2
0.005,75.8,4.2
0.005,75.82,4.18
0.005,75.82,4.18
0.005,75.8,4.2
0.005,75.82,4.18
0.005,75.75,4.25
0.005,75.82,4.18
0.005,75.79,4.21
0.005,75.8,4.2
0.005,75.84,4.16
0.005,75.8,4.2
0.005,75.82,4.18
0.005,75.86,4.14
0.005,74.48,5.52
0.005,75.77,4.23
0.005,75.75,4.25
0.005,76.56,3.44
0.005,75.84,4.16
0.005,75.15,4.85
0.005,75.84,4.16
0.005,75.8,4.2
0.005,75.84,4.16
0.005,75.12,4.88
0.005,75.85,4.15
0.005,75.8,4.2
0.005,75.8,4.2
0.005,75.77,4.23
0.005,75.73,4.27
0.005,75.82,4.18
0.005,75.17,4.83
0.005,75.87,4.13
0.005,75.89,4.11
0.005,75.82,4.18
0.005,75.77,4.23
0.005,76.4,3.6
0.005,75.8,4.2
0.005,75.84,4.16
0.005,75.92,4.08
