Settle time (s),Measured Distance (cm), Error to real distance = 50 cm
0.005,45.81,4.19
0.005,46.44,3.56
0.005,45.93,4.07
0.005,45.82,4.18
0.005,46.53,3.47
0.005,45.91,4.09
0.005,45.88,4.12
0.005,45.93,4.07
0.005,46.49,3.51
0.005,45.89,4.11
0.005,46.49,3.51
0.005,45.88,4.12
0.005,46.48,3.52
0.005,46.47,3.53
0.005,45.89,4.11
0.005,45.86,4.14
0.005,45.89,4.11
0.005,45.93,4.07
0.005,45.91,4.09
0.005,45.88,4.12
0.005,45.89,4.11
0.005,46.51,3.49
0.005,45.93,4.07
0.005,46.49,3.51
0.005,45.89,4.11
0.005,45.88,4.12
0.005,45.91,4.09
0.005,46.51,3.49
0.005,46.51,3.49
0.005,45.91,4.09
0.005,46.53,3.47
0.005,45.91,4.09
0.005,45.84,4.16
0.005,46.49,3.51
0.005,45.86,4.14
0.005,45.89,4.11
0.005,45.88,4.12
0.005,45.86,4.14
0.005,45.86,4.14
0.005,46.47,3.53
0.005,46.47,3.53
0.005,46.48,3.52
0.005,45.89,4.11
0.005,45.88,4.12
0.005,45.86,4.14
0.005,45.88,4.12
0.005,45.84,4.16
0.005,46.49,3.51
0.005,45.86,4.14
0.005,46.53,3.47
0.005,46.53,3.47
0.005,46.48,3.52
0.005,46.51,3.49
0.005,46.46,3.54
0.005,46.49,3.51
0.005,46.53,3.47
0.005,45.86,4.14
0.005,45.91,4.09
0.005,45.86,4.14
0.005,46.49,3.51
0.005,45.86,4.14
0.005,45.86,4.14
0.005,46.47,3.53
0.005,45.91,4.09
0.005,45.87,4.13
0.005,46.49,3.51
0.005,46.49,3.51
0.005,45.89,4.11
0.005,46.55,3.45
0.005,45.88,4.12
0.005,46.53,3.47
0.005,45.86,4.14
0.005,45.86,4.14
0.005,45.86,4.14
0.005,46.49,3.51
0.005,46.53,3.47
0.005,46.49,3.51
0.005,45.89,4.11
0.005,45.86,4.14
0.005,46.46,3.54
0.005,46.48,3.52
0.005,45.88,4.12
0.005,45.88,4.12
0.005,45.88,4.12
0.005,46.53,3.47
0.005,45.84,4.16
0.005,45.91,4.09
0.005,45.89,4.11
0.005,45.89,4.11
0.005,46.53,3.47
0.005,45.93,4.07
0.005,45.88,4.12
0.005,45.81,4.19
0.005,46.44,3.56
0.005,46.46,3.54
0.005,45.82,4.18
0.005,46.49,3.51
0.005,45.88,4.12
0.005,46.43,3.57
0.005,46.56,3.44
