Settle time (s),Measured Distance (cm), Error to real distance = 0 cm
0.005,107.77,-107.77
0.005,656.66,-656.66
0.005,1382.22,-1382.22
0.005,718.21,-718.21
0.005,1149.62,-1149.62
0.005,702.05,-702.05
0.005,766.73,-766.73
0.005,722.99,-722.99
0.005,6868.76,-6868.76
0.005,3496.75,-3496.75
0.005,120.37,-120.37
0.005,676.89,-676.89
0.005,711.88,-711.88
0.005,966.16,-966.16
0.005,726.03,-726.03
0.005,713.84,-713.84
0.005,721.14,-721.14
0.005,1295.2,-1295.2
0.005,716.78,-716.78
0.005,722.41,-722.41
0.005,730.78,-730.78
0.005,6868.75,-6868.75
0.005,729.58,-729.58
0.005,691.25,-691.25
0.005,708.88,-708.88
0.005,742.37,-742.37
0.005,746.68,-746.68
0.005,704.64,-704.64
0.005,6868.49,-6868.49
0.005,733.52,-733.52
0.005,705.88,-705.88
0.005,705.84,-705.84
0.005,704.64,-704.64
0.005,717.07,-717.07
0.005,709.38,-709.38
0.005,6868.61,-6868.61
0.005,708.48,-708.48
0.005,761.78,-761.78
0.005,811.45,-811.45
0.005,744.14,-744.14
0.005,708.07,-708.07
0.005,6868.94,-6868.94
0.005,751.39,-751.39
0.005,718.84,-718.84
0.005,984.17,-984.17
0.005,726.54,-726.54
0.005,710.87,-710.87
0.005,714.02,-714.02
0.005,740.42,-740.42
0.005,6868.78,-6868.78
0.005,796.65,-796.65
0.005,726.94,-726.94
0.005,1167.42,-1167.42
0.005,788.64,-788.64
0.005,704.49,-704.49
0.005,725.46,-725.46
0.005,1411.74,-1411.74
0.005,6868.2,-6868.2
0.005,718.35,-718.35
0.005,746.06,-746.06
0.005,719.03,-719.03
0.005,881.94,-881.94
0.005,735.92,-735.92
0.005,722.6,-722.6
0.005,712.2,-712.2
0.005,1260.64,-1260.64
0.005,710.41,-710.41
0.005,702.81,-702.81
0.005,727.45,-727.45
0.005,704.58,-704.58
0.005,1156.04,-1156.04
0.005,733.57,-733.57
0.005,6868.08,-6868.08
0.005,707.97,-707.97
0.005,744.81,-744.81
0.005,706.8,-706.8
0.005,700.47,-700.47
0.005,724.16,-724.16
0.005,711.31,-711.31
0.005,6868.52,-6868.52
0.005,801.01,-801.01
0.005,784.06,-784.06
0.005,731.67,-731.67
0.005,6869.07,-6869.07
0.005,6812.99,-6812.99
0.005,708.35,-708.35
0.005,696.05,-696.05
0.005,6868.81,-6868.81
0.005,709.49,-709.49
0.005,788.7,-788.7
0.005,1303.82,-1303.82
0.005,974.57,-974.57
0.005,1220.05,-1220.05
0.005,719.17,-719.17
0.005,6868.69,-6868.69
0.005,1221.68,-1221.68
0.005,721.81,-721.81
0.005,1096.42,-1096.42
0.005,749.59,-749.59
0.005,1107.94,-1107.94
