Settle time (s),Measured Distance (cm), Error to real distance = 20 cm
0.005,16.62,3.38
0.005,16.6,3.4
0.005,16.03,3.97
0.005,16.58,3.42
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.64,3.36
0.005,16.6,3.4
0.005,16.65,3.35
0.005,16.62,3.38
0.005,16.63,3.37
0.005,16.6,3.4
0.005,16.6,3.4
0.005,16.58,3.42
0.005,16.64,3.36
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.58,3.42
0.005,16.62,3.38
0.005,16.63,3.37
0.005,16.63,3.37
0.005,16.58,3.42
0.005,16.6,3.4
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.64,3.36
0.005,16.57,3.43
0.005,16.62,3.38
0.005,16.6,3.4
0.005,16.62,3.38
0.005,16.58,3.42
0.005,16.63,3.37
0.005,16.58,3.42
0.005,16.6,3.4
0.005,16.58,3.42
0.005,16.6,3.4
0.005,16.62,3.38
0.005,16.58,3.42
0.005,16.6,3.4
0.005,16.6,3.4
0.005,16.62,3.38
0.005,16.63,3.37
0.005,16.6,3.4
0.005,16.58,3.42
0.005,16.62,3.38
0.005,16.6,3.4
0.005,16.6,3.4
0.005,16.62,3.38
0.005,16.58,3.42
0.005,16.58,3.42
0.005,16.62,3.38
0.005,16.58,3.42
0.005,16.58,3.42
0.005,16.6,3.4
0.005,16.62,3.38
0.005,16.0,4.0
0.005,16.62,3.38
0.005,16.65,3.35
0.005,16.63,3.37
0.005,16.58,3.42
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.63,3.37
0.005,16.62,3.38
0.005,16.58,3.42
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.64,3.36
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.6,3.4
0.005,16.62,3.38
0.005,16.04,3.96
0.005,16.58,3.42
0.005,16.62,3.38
0.005,16.58,3.42
0.005,16.64,3.36
0.005,16.64,3.36
0.005,16.02,3.98
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.67,3.33
0.005,16.6,3.4
0.005,16.62,3.38
0.005,16.65,3.35
0.005,16.62,3.38
0.005,16.63,3.37
0.005,16.6,3.4
0.005,16.58,3.42
0.005,16.6,3.4
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.62,3.38
0.005,16.58,3.42
0.005,16.04,3.96
0.005,16.62,3.38
