Settle time (s),Measured Distance (cm), Error to real distance = 100 cm
0.005,95.75,4.25
0.005,95.71,4.29
0.005,95.43,4.57
0.005,95.71,4.29
0.005,95.7,4.3
0.005,95.66,4.34
0.005,95.68,4.32
0.005,95.7,4.3
0.005,95.7,4.3
0.005,95.78,4.22
0.005,95.68,4.32
0.005,95.7,4.3
0.005,95.71,4.29
0.005,95.75,4.25
0.005,95.73,4.27
0.005,95.77,4.23
0.005,95.7,4.3
0.005,95.66,4.34
0.005,95.65,4.35
0.005,95.72,4.28
0.005,95.77,4.23
0.005,95.71,4.29
0.005,95.68,4.32
0.005,95.66,4.34
0.005,95.68,4.32
0.005,95.7,4.3
0.005,95.73,4.27
0.005,95.66,4.34
0.005,95.71,4.29
0.005,95.68,4.32
0.005,95.73,4.27
0.005,95.78,4.22
0.005,95.71,4.29
0.005,95.68,4.32
0.005,95.68,4.32
0.005,95.7,4.3
0.005,95.77,4.23
0.005,95.75,4.25
0.005,95.7,4.3
0.005,95.77,4.23
0.005,95.68,4.32
0.005,95.66,4.34
0.005,95.75,4.25
0.005,95.66,4.34
0.005,95.7,4.3
0.005,95.75,4.25
0.005,95.75,4.25
0.005,95.75,4.25
0.005,95.68,4.32
0.005,95.72,4.28
0.005,95.73,4.27
0.005,95.75,4.25
0.005,95.7,4.3
0.005,95.72,4.28
0.005,95.7,4.3
0.005,95.75,4.25
0.005,95.7,4.3
0.005,95.73,4.27
0.005,95.68,4.32
0.005,95.75,4.25
0.005,95.71,4.29
0.005,95.7,4.3
0.005,95.68,4.32
0.005,95.7,4.3
0.005,95.72,4.28
0.005,95.78,4.22
0.005,95.75,4.25
0.005,95.68,4.32
0.005,96.33,3.67
0.005,95.71,4.29
0.005,95.77,4.23
0.005,95.66,4.34
0.005,95.72,4.28
0.005,95.7,4.3
0.005,95.7,4.3
0.005,95.68,4.32
0.005,95.75,4.25
0.005,95.7,4.3
0.005,95.7,4.3
0.005,95.06,4.94
0.005,95.68,4.32
0.005,95.73,4.27
0.005,95.65,4.35
0.005,95.73,4.27
0.005,95.78,4.22
0.005,95.66,4.34
0.005,95.73,4.27
0.005,95.7,4.3
0.005,95.77,4.23
0.005,95.68,4.32
0.005,95.7,4.3
0.005,95.7,4.3
0.005,95.73,4.27
0.005,95.65,4.35
0.005,95.73,4.27
0.005,95.68,4.32
0.005,95.7,4.3
0.005,95.68,4.32
0.005,95.75,4.25
0.005,95.71,4.29
