Settle time (s),Measured Distance (cm), Error to real distance = 60 cm
0.005,55.18,4.82
0.005,55.72,4.28
0.005,55.65,4.35
0.005,56.39,3.61
0.005,55.74,4.26
0.005,55.6,4.4
0.005,55.65,4.35
0.005,55.72,4.28
0.005,55.72,4.28
0.005,55.75,4.25
0.005,56.41,3.59
0.005,55.63,4.37
0.005,56.41,3.59
0.005,55.65,4.35
0.005,55.77,4.23
0.005,55.7,4.3
0.005,56.37,3.63
0.005,55.7,4.3
0.005,56.39,3.61
0.005,55.7,4.3
0.005,55.67,4.33
0.005,55.74,4.26
0.005,56.34,3.66
0.005,55.6,4.4
0.005,56.37,3.63
0.005,55.7,4.3
0.005,56.39,3.61
0.005,55.65,4.35
0.005,55.74,4.26
0.005,55.69,4.31
0.005,55.74,4.26
0.005,56.37,3.63
0.005,55.65,4.35
0.005,56.39,3.61
0.005,55.12,4.88
0.005,55.64,4.36
0.005,56.37,3.63
0.005,55.6,4.4
0.005,56.36,3.64
0.005,55.62,4.38
0.005,56.37,3.63
0.005,55.65,4.35
0.005,56.41,3.59
0.005,55.72,4.28
0.005,55.69,4.31
0.005,55.62,4.38
0.005,55.63,4.37
0.005,56.13,3.87
0.005,56.35,3.65
0.005,55.63,4.37
0.005,56.39,3.61
0.005,55.7,4.3
0.005,56.41,3.59
0.005,55.07,4.93
0.005,55.65,4.35
0.005,56.36,3.64
0.005,55.63,4.37
0.005,56.34,3.66
0.005,55.69,4.31
0.005,56.34,3.66
0.005,55.69,4.31
0.005,55.74,4.26
0.005,56.37,3.63
0.005,55.6,4.4
0.005,56.34,3.66
0.005,55.72,4.28
0.005,55.77,4.23
0.005,56.39,3.61
0.005,55.71,4.29
0.005,56.35,3.65
0.005,55.69,4.31
0.005,55.74,4.26
0.005,56.37,3.63
0.005,55.69,4.31
0.005,55.65,4.35
0.005,56.34,3.66
0.005,55.68,4.32
0.005,56.39,3.61
0.005,55.05,4.95
0.005,55.65,4.35
0.005,55.67,4.33
0.005,55.7,4.3
0.005,56.41,3.59
0.005,55.65,4.35
0.005,56.39,3.61
0.005,55.63,4.37
0.005,55.65,4.35
0.005,55.81,4.19
0.005,56.42,3.58
0.005,56.41,3.59
0.005,55.67,4.33
0.005,54.95,5.05
0.005,55.62,4.38
0.005,55.65,4.35
0.005,56.37,3.63
0.005,55.6,4.4
0.005,55.62,4.38
0.005,55.63,4.37
0.005,56.36,3.64
0.005,55.72,4.28
